participant_id,condition,freq,intensity,target_transition_index,target_transition_number,schedule_target_time_ms,analysis_target_time_ms,schedule_offset_ms,pre_window_ms,post_window_ms,pre_rmse,post_rmse,delta_rmse,peak_deviation,post_auc,n_pre_samples,n_post_samples
3_ZXY,LI_LF,LF,LI,2,3,180000,180000,0,5000,5000,4.081669751773406,9.940903109128891,5.859233357355485,15.477374,46.866321958,213,210
3_ZXY,HI_LF,LF,HI,2,3,210000,210000,0,5000,5000,3.6805545822057555,29.964597923172963,26.28404334096721,44.575031,131.8101312085,213,213
3_ZXY,LI_MF,MF,LI,4,5,150000,150000,0,5000,5000,3.068396678384963,9.591035442295858,6.522638763910895,15.204184,45.313608,215,212
3_ZXY,HI_MF,MF,HI,4,5,165000,165000,0,5000,5000,3.553836761785143,18.831063027800795,15.277226266015653,33.362616,84.468803902,213,214
3_ZXY,LI_HF,HF,LI,6,7,140000,140000,0,5000,5000,4.287980581031873,8.05820045961689,3.7702198785850163,11.627904,38.892126061,215,211
3_ZXY,HI_HF,HF,HI,6,7,150000,150000,0,5000,5000,6.511194735633161,28.447966536775706,21.936771801142545,41.825274,134.8748399845,212,212
4_QHL,HI_HF,HF,HI,6,7,150000,150000,0,5000,5000,13.282854813009079,3.592583926050184,-9.690270886958896,7.534476,16.386747421000003,219,210
4_QHL,LI_HF,HF,LI,6,7,140000,140000,0,5000,5000,5.111469876741354,10.041604349725786,4.930134472984432,15.573773,44.8891513145,214,209
4_QHL,HI_MF,MF,HI,4,5,165000,165000,0,5000,5000,6.507987429102756,5.838113266225668,-0.6698741628770879,11.54825,26.0607719465,215,216
4_QHL,LI_MF,MF,LI,4,5,150000,150000,0,5000,5000,7.468407358734763,10.534380474037208,3.0659731153024454,16.816359,48.6093658675,218,211
4_QHL,HI_LF,LF,HI,2,3,210000,210000,0,5000,5000,9.437716120654011,21.74868427153353,12.31096815087952,31.956826,98.884096836,213,218
4_QHL,LI_LF,LF,LI,2,3,180000,180000,0,5000,5000,5.579114400976108,13.247311491368816,7.668197090392708,27.306034,53.2290952415,209,211
5_WZM,LI_HF,HF,LI,6,7,140000,140000,0,5000,5000,4.557544140157216,5.5955988568431625,1.0380547166859468,12.356793,25.2920809015,199,205
5_WZM,HI_HF,HF,HI,6,7,150000,150000,0,5000,5000,3.6338209668653723,18.9742578893165,15.34043692245113,41.760232,80.2795756645,201,205
5_WZM,LI_LF,LF,LI,2,3,180000,180000,0,5000,5000,3.4408794151770836,9.216079369419463,5.775199954242379,17.368768,41.325316452500005,203,207
5_WZM,HI_MF,MF,HI,4,5,165000,165000,0,5000,5000,4.1390167854527204,18.405844628718295,14.266827843265574,29.189495,83.4420578065,207,203
5_WZM,LI_MF,MF,LI,4,5,150000,150000,0,5000,5000,4.000368146891876,5.463806284050845,1.4634381371589686,9.691548,24.628799540500005,203,204
5_WZM,HI_LF,LF,HI,2,3,210000,210000,0,5000,5000,4.665697211833465,17.210713175511405,12.54501596367794,32.92816,73.68444777799999,211,210
6_HRB,HI_HF,HF,HI,6,7,150000,150000,0,5000,5000,2.098776901661495,6.887146214964313,4.788369313302818,12.812808,31.525703135999997,207,201
6_HRB,HI_MF,MF,HI,4,5,165000,165000,0,5000,5000,2.346849936062889,6.996356429761,4.6495064936981105,18.104368,30.0943478825,199,200
6_HRB,HI_LF,LF,HI,2,3,210000,210000,0,5000,5000,2.009213402076336,11.193803434053272,9.184590031976937,27.899636,44.679783768,206,202
6_HRB,LI_HF,HF,LI,6,7,140000,140000,0,5000,5000,3.323700601537191,5.103231305647534,1.7795307041103432,8.182716,23.363983832499997,203,205
6_HRB,LI_MF,MF,LI,4,5,150000,150000,0,5000,5000,2.8213478646592294,4.567576360010645,1.7462284953514158,9.994875,19.627031277,195,199
6_HRB,LI_LF,LF,LI,2,3,180000,180000,0,5000,5000,1.687041996755251,4.593652027628984,2.906610030873733,6.959816,21.610814879499998,198,193
7_XJ,LI_LF,LF,LI,2,3,180000,180000,0,5000,5000,3.91288504691591,11.633093421077186,7.720208374161276,20.597659,51.65123371200001,210,216
7_XJ,LI_MF,MF,LI,4,5,150000,150000,0,5000,5000,5.75849146553197,7.891893303227025,2.1334018376950556,13.061925,35.683273068,219,211
7_XJ,LI_HF,HF,LI,6,7,140000,140000,0,5000,5000,4.838573903746747,15.04780349539277,10.209229591646023,23.996156,68.74424243850001,211,212
7_XJ,HI_LF,LF,HI,2,3,210000,210000,0,5000,5000,4.654269321054432,20.555692834619514,15.901423513565081,41.550415,90.631749652,216,215
