participant_id,condition,freq,intensity,t_transition_ms,from_level,to_level,delta_multiplier,direction,next_transition_ms,n_pre,n_imm,n_rec,pre_mean_dev,pre_sd_dev,imm_mean_dev,delta_dev,rec_mean_dev,peak_dev_0_10s,t_recover_dev_ms,residual_dev_5_10s,residual_dev_10_15s,recover_success
9_LSS,LI_HF,HF,LI,40000,MID,LOW,1.5,down,60000.0,336,214,210,10.260013032738096,6.564899369453055,5.1879018224299065,-5.072111210308189,-3.601602480357143,11.48513,0.0,-3.601602480357143,-6.417585898717476,1
9_LSS,LI_HF,HF,LI,60000,LOW,MID,1.5,up,80000.0,318,214,211,3.892648540880503,1.2390262268412997,10.067331630841123,6.17468308996062,14.803380705564996,30.605709,,14.803380705564996,13.783515217573603,0
9_LSS,LI_HF,HF,LI,80000,MID,LOW,1.5,down,100000.0,337,213,204,13.715254195845697,7.144337565774466,3.4046350140845068,-10.31061918176119,-5.888306426237855,12.097506,0.0,-5.888306426237855,-4.97110137110343,1
9_LSS,LI_HF,HF,LI,100000,LOW,MID,1.5,up,120000.0,323,211,209,7.124164365325077,3.275544279465103,11.518448625592415,4.394284260267337,8.578589017450042,22.354882,4573.0,8.578589017450042,6.058661826263709,1
9_LSS,LI_HF,HF,LI,120000,MID,LOW,1.5,down,140000.0,344,212,216,10.461803040697674,4.682011851440458,9.188840179245283,-1.2729628614523918,-4.153305184216192,19.731517,743.0,-4.153305184216192,-4.616218901941694,1
9_LSS,LI_HF,HF,LI,140000,LOW,MID,1.5,up,160000.0,337,204,207,4.174480836795252,2.8654255238521213,16.866715794117646,12.692234957322395,4.648222076248227,25.881063,,4.648222076248227,8.21332055183034,0
9_LSS,LI_HF,HF,LI,160000,MID,LOW,1.5,down,180000.0,336,204,212,13.767512211309525,2.9837963621343433,5.555997151960785,-8.21151505934874,-10.365879239611411,14.838948,0.0,-10.365879239611411,-1.1824159565018313,1
9_LSS,LI_HF,HF,LI,180000,LOW,MID,1.5,up,200000.0,335,210,209,12.067012644776119,4.464325184644845,9.652593214285714,-2.4144194304904047,-2.403927214154109,22.95441,0.0,-2.403927214154109,5.89986476868542,1
9_LSS,LI_HF,HF,LI,200000,MID,LOW,1.5,down,220000.0,335,208,211,14.569195107462688,5.624089152409748,6.783861341346154,-7.785333766116534,-8.9886048752352,10.129542,0.0,-8.9886048752352,-7.379528400731918,1
9_LSS,LI_HF,HF,LI,220000,LOW,MID,1.5,up,,328,210,209,6.2246030457317065,2.5860940945405546,8.910573623809526,2.6859705780778196,-0.09260152898529483,16.644908,4890.0,-0.09260152898529483,2.4879044859756103,1
