participant_id,condition,freq,intensity,t_transition_ms,from_level,to_level,delta_multiplier,direction,next_transition_ms,n_pre,n_imm,n_rec,pre_mean_dev,pre_sd_dev,imm_mean_dev,delta_dev,rec_mean_dev,peak_dev_0_10s,t_recover_dev_ms,residual_dev_5_10s,residual_dev_10_15s,recover_success,tail_t_start_ms,tail_n_samples,tail_mean_dev,tail_rmse_dev,tail_std_dev,tail_hit_ratio,tail_time_to_stable_ms,steady_n_samples,steady_mean_dev,steady_rmse_dev,steady_std_dev,steady_hit_ratio,steady_slope_dev,cumulative_delta_dev,mean_recover_success_ratio
3_ZXY,HI_HF,HF,HI,240000,HIGH,TAIL,3.0,down,,342,212,214,15.595932307017543,16.90023270000856,9.075366287735848,-6.520566019281695,-11.295169676176421,13.285862,0.0,-11.295169676176421,-9.208748133308623,1,240000,1916,4.841680552192067,5.4580715379225175,2.5196575845945817,1.0,15835.0,1154,3.8811597790294625,4.217446578103638,1.6502891894459164,1.0,-0.04530103425452177,2.625954359121133,0.45454545454545453
3_ZXY,BASE,BASE,NONE,240000,LOW,TAIL,0.0,down,,341,207,211,3.6115856568914952,1.9929458997251175,3.1494663719806764,-0.4621192849108189,1.2590332530611108,9.218183,743.0,1.2590332530611108,-0.004219360240777181,1,240000,1918,4.02332373253389,4.584784100820288,2.19843385034985,1.0,556.0,1807,4.042513327614831,4.5696444171373045,2.130665646020182,1.0,0.01583472295163056,,
4_QHL,HI_HF,HF,HI,240000,HIGH,TAIL,3.0,down,,337,208,212,21.65824525816024,9.51838883168532,3.3723750336538463,-18.285870224506393,-13.645656390235711,16.571009,0.0,-13.645656390235711,-13.455933698351625,1,240000,1897,8.471626581971535,9.575072535640446,4.462460881443024,1.0,131.0,1808,8.626783759402654,9.703192549469831,4.4419081058249565,1.0,0.07234051568193137,0.003221587025602995,0.8181818181818182
4_QHL,LI_HF,HF,LI,240000,MID,TAIL,1.5,down,,341,206,217,18.1369567829912,11.24812401229916,6.941639262135923,-11.195317520855276,-9.945097709258478,15.409378,0.0,-9.945097709258478,-11.307102061293087,1,240000,1921,7.5886833883394065,8.763375530960413,4.382765693962804,1.0,0.0,1838,7.7745274570184995,8.915007806412634,4.362807239434685,1.0,0.10089424424553392,-6.088758459232588,1.0
4_QHL,HI_MF,MF,HI,240000,HIGH,TAIL,3.0,down,,338,216,214,13.892003215976331,6.420664939298667,3.974188638888889,-9.91781457708744,-7.1089517673781994,16.388626,0.0,-7.1089517673781994,-4.276950932322485,1,240000,1920,6.625761226041666,7.449542510374429,3.405139026436158,1.0,0.0,1834,6.779566002181025,7.577857361303911,3.3854699836712574,1.0,0.02333160849803281,2.644728664185373,0.42857142857142855
4_QHL,LI_MF,MF,LI,240000,MID,TAIL,1.5,down,,338,214,209,11.239939284023668,7.2805980758640665,8.309503700934581,-2.9304355830890874,-3.9761003366552474,14.417516,0.0,-3.9761003366552474,-2.078175543282928,1,240000,1930,7.163509790673575,7.987224188239558,3.532687038519388,1.0,273.0,1835,7.265310007084468,8.076358604605575,3.527440830282601,1.0,-0.0568981620272752,1.4294639020042015,0.5714285714285714
4_QHL,HI_LF,LF,HI,240000,HIGH,TAIL,3.0,down,,332,211,209,20.73665661144578,9.073010593798458,10.096785308056871,-10.63987130338891,-11.79286557316827,15.878833,0.0,-11.79286557316827,-12.692788902707917,1,240000,1886,7.848865044008483,8.381950104657417,2.9414970810640244,1.0,1466.0,1738,7.629034097813578,8.1490101491073,2.864298368650086,1.0,-0.04055142807968204,8.649770004895897,0.3333333333333333
4_QHL,LI_LF,LF,LI,240000,MID,TAIL,1.5,down,,335,208,211,11.415663405970149,5.835993108077187,5.6792599038461535,-5.736403502123995,-1.4810914249274951,12.162193,0.0,-1.4810914249274951,-6.216864290585534,1,240000,1909,7.393083727082241,8.124704456544569,3.3694414241157107,1.0,0.0,1828,7.427049037199125,8.160933142602422,3.3822732528679884,1.0,0.049425902733468724,3.9802151557223553,1.0
4_QHL,BASE,BASE,NONE,240000,LOW,TAIL,0.0,down,,345,207,212,5.315273408695652,2.239319372598439,4.006150719806763,-1.3091226888888885,3.7235414969647254,17.912752,0.0,3.7235414969647254,7.4917043035685,1,240000,1897,7.382579441750131,8.67543493709853,4.556390252609853,1.0,0.0,1815,7.502056262258953,8.807877527236409,4.614960278561167,1.0,0.01072998175251961,,
5_WZM,LI_HF,HF,LI,240000,MID,TAIL,1.5,down,,325,189,197,7.368076532307693,2.2414765432337447,7.812313873015875,0.4442373407081819,-3.825551796267084,23.377303,0.0,-3.825551796267084,-3.8956741737218343,1,240000,1811,4.901105787410271,5.9436188077207195,3.3624048822390527,1.0,0.0,1738,4.974585867663982,6.02784928134719,3.4041830743771126,1.0,-0.007334770976659947,-1.3856692820509766,0.5454545454545454
