participant_id,condition,n_events,peak_mean,peak_p95,delta_mean,delta_med,trec_med,trec_mean,recover_success_rate,resid_11_14s_mean,freq,intensity
12_ZTH,LI_HF,11,41.944131545454546,57.60702,4.448491344321032,4.9311872065295255,604.0,1456.4285714285713,0.6363636363636364,1.762932353205317,HF,LI
12_ZTH,LI_LF,3,25.638687,31.043778999999997,4.442685741376828,6.953789412307696,0.0,0.0,0.3333333333333333,4.180494240181723,LF,LI
12_ZTH,LI_MF,7,33.63034957142857,43.4545282,-0.6696283477100015,-0.8410910554806819,0.0,29.25,0.5714285714285714,-1.1369797550903318,MF,LI
13_LQL,HI_HF,11,55.626028818181815,94.4370685,0.9568273866969661,4.358066467640867,0.0,1664.3333333333333,0.5454545454545454,-11.678317872674027,HF,HI
13_LQL,HI_LF,3,51.28749033333333,72.63832359999999,2.583629065617961,15.218661300598889,0.0,0.0,0.3333333333333333,4.507563391887795,LF,HI
13_LQL,HI_MF,7,57.60008285714286,81.9967486,5.50206589151046,-2.495327090103906,0.0,28.0,0.5714285714285714,1.618501312271835,MF,HI
13_LQL,LI_HF,11,47.07875236363636,69.5065865,2.2485990861938316,0.9670463723186912,1559.5,3050.3,0.9090909090909091,1.315249557679653,HF,LI
13_LQL,LI_LF,3,45.197383,54.2494217,2.846412056606383,2.6315146563519143,0.0,0.0,0.3333333333333333,3.036079420885379,LF,LI
13_LQL,LI_MF,7,37.49439,45.818141,0.3224339566357775,2.881063797921975,0.0,1791.75,0.5714285714285714,1.9482442819372863,MF,LI
14_DWZ,HI_HF,11,37.16530681818182,57.209734499999996,2.465381947827686,8.862774647850703,0.0,1905.1666666666667,0.5454545454545454,-12.36636528723669,HF,HI
14_DWZ,HI_LF,3,57.924025,74.1176125,14.890618554627546,17.929440543665827,298.0,298.0,0.3333333333333333,6.017019733568106,LF,HI
14_DWZ,HI_MF,7,44.847934,65.94688579999999,4.047566757051382,10.947468693574187,0.0,470.0,0.42857142857142855,6.253141284883351,MF,HI
14_DWZ,LI_HF,11,32.04661618181819,50.169032,1.5860115993168884,5.5818095263864045,0.0,333.8,0.45454545454545453,-0.22941121951095703,HF,LI
14_DWZ,LI_LF,3,31.77250033333333,33.789607499999995,3.6478892458492003,5.891647935392484,3041.5,3041.5,0.6666666666666666,4.099048971393242,LF,LI
14_DWZ,LI_MF,7,35.49309842857143,46.7128745,3.139823262960681,5.375629954761905,0.0,0.0,0.42857142857142855,2.1235997022163167,MF,LI
15_ZYJ,HI_HF,11,65.85473163636362,109.056393,8.619177110000383,16.597963149058018,417.5,2296.3333333333335,0.5454545454545454,-17.559747182892377,HF,HI
15_ZYJ,HI_LF,3,62.014100000000006,74.85536780000001,12.376404503757016,24.38055948598865,0.0,0.0,0.3333333333333333,8.441158079396123,LF,HI
15_ZYJ,HI_MF,7,48.43394657142857,67.6457835,1.2269027995175645,14.75012668765227,0.0,0.0,0.42857142857142855,5.678692160162401,MF,HI
15_ZYJ,LI_HF,11,49.19590272727273,61.841634,0.17124602485455956,3.8623752467103536,1460.0,2507.6666666666665,0.8181818181818182,-0.897466933170202,HF,LI
15_ZYJ,LI_LF,3,41.366201999999994,65.4505356,2.107909867698558,8.41987998797633,0.0,0.0,0.3333333333333333,9.380244021199935,LF,LI
15_ZYJ,LI_MF,7,42.255300999999996,53.38837039999999,7.104853993228844,12.558890492138852,1849.5,3472.5,0.5714285714285714,4.053681295025837,MF,LI
1_LMR,HI_HF,11,21.435123727272728,37.1818435,1.09990518832254,4.627014897983783,0.0,0.0,0.45454545454545453,-7.134621625408392,HF,HI
1_LMR,HI_LF,3,24.302882333333333,36.887869699999996,1.425813543636597,7.192620397388118,0.0,0.0,0.3333333333333333,0.05325583908695908,LF,HI
1_LMR,HI_MF,7,20.80030357142857,32.8147064,-0.2135768592845875,4.833596204215967,0.0,1937.75,0.5714285714285714,-1.0138774523136005,MF,HI
1_LMR,LI_HF,11,18.579644545454546,34.990225499999994,1.4540617228048511,0.2124273377119485,1049.5,2400.6666666666665,0.5454545454545454,0.3654719949677878,HF,LI
1_LMR,LI_LF,3,15.014870333333334,17.6650729,2.164298486689545,2.6918438088624344,2285.0,2285.0,0.6666666666666666,1.9445788380650562,LF,LI
1_LMR,LI_MF,7,18.641906714285714,27.511107999999993,1.574070441388507,1.5478741530512314,226.0,799.75,0.5714285714285714,1.432304705793031,MF,LI
2_CYL,HI_HF,11,28.330748818181817,47.1068055,0.28877499941593676,9.219968781340306,0.0,0.0,0.45454545454545453,-8.88563626927465,HF,HI
