participant_id,condition,n_events,peak_mean,peak_p95,imm_mean,rec_mean,delta_mean,delta_med,trec_med,trec_mean,recover_success_rate,resid_5_10s_mean,freq,intensity
3_ZXY,HI_LF,3,38.916001666666666,44.545201,20.051338579641154,4.096603563403234,11.301622874138848,19.26200188154949,208.0,208.0,0.3333333333333333,4.096603563403234,LF,HI
3_ZXY,HI_MF,7,24.567919285714286,32.5007265,11.656983570898957,2.5657599737475887,3.1269503904641076,8.245862963337892,0.0,197.0,0.42857142857142855,2.5657599737475887,MF,HI
3_ZXY,LI_HF,11,16.042666363636364,21.705741,6.414396446725804,1.0700504732518659,-0.031078078097088936,1.193399566987428,418.0,1267.142857142857,0.6363636363636364,1.0700504732518659,HF,LI
3_ZXY,LI_LF,3,21.023714333333334,26.5935105,8.801433509106241,4.7725224071888945,3.48465654893158,6.179006255955873,257.0,257.0,0.3333333333333333,4.7725224071888945,LF,LI
3_ZXY,LI_MF,7,17.571409428571428,31.758595899999985,7.699803589609877,1.8097096753711115,0.9962928197473009,1.5842839547417338,0.0,0.0,0.42857142857142855,1.8097096753711115,MF,LI
4_QHL,HI_HF,11,29.46792454545454,48.7769275,16.665187340255738,-2.078406172981909,0.003221587025603318,0.2841449728065868,0.0,1957.4444444444443,0.8181818181818182,-2.078406172981909,HF,HI
4_QHL,HI_LF,3,42.439718666666664,51.7192303,22.384633444101482,4.177440357974192,8.649770004895897,10.893984002414294,1141.0,1141.0,0.3333333333333333,4.177440357974192,LF,HI
4_QHL,HI_MF,7,28.286716857142856,51.17519669999998,11.642156273322263,3.4931333903353754,2.6447286641853727,3.17944827999605,0.0,287.0,0.42857142857142855,3.4931333903353754,MF,HI
4_QHL,LI_HF,11,17.779243454545455,30.330214499999997,8.407089503009356,-6.289036628662036,-6.08875845923259,-4.896589281130421,0.0,0.0,1.0,-6.289036628662036,HF,LI
4_QHL,LI_LF,3,25.797191666666667,27.2360014,13.570981359235427,0.9666588239754882,3.9802151557223553,3.931722938372092,3497.0,3343.6666666666665,1.0,0.9666588239754882,LF,LI
4_QHL,LI_MF,7,26.664775,36.30367439999999,12.551330672733384,1.0924865205612788,1.4294639020042015,-1.8694707371448924,0.0,201.75,0.5714285714285714,1.0924865205612788,MF,LI
